Günler;Şimdi
Pazartesi;1.133,59
Cuma;1.112,37
Çarşamba;1.126,99
Salı;1.152,63
Pazartesi;1.144,45
Cuma;1.190,63
Perşembe;1.198,32
Çarşamba;1.211,51
Salı;1.210,41
Pazartesi;1.205,37
Cuma;1.192,73
Perşembe;1.180,43
Çarşamba;1.189,29
Salı;1.174,70
Pazartesi;1.178,35
Cuma;1.165,70
Perşembe;1.150,49
Çarşamba;1.152,41
Salı;1.153,71
Pazartesi;1.160,71
Cuma;1.145,03
Perşembe;1.143,51
Çarşamba;1.145,24
Salı;1.123,25
Pazartesi;1.121,17
Cuma;1.124,17
Perşembe;1.119,56
Çarşamba;1.102,65
Salı;1.096,16
Pazartesi;1.087,03
Cuma;1.111,96
Perşembe;1.110,66
Çarşamba;1.107,11
Salı;1.111,24
Pazartesi;1.107,29
Cuma;1.102,70
Perşembe;1.099,06
Çarşamba;1.099,68
Salı;1.089,60
Pazartesi;1.096,81
Cuma;1.086,32
Perşembe;1.076,34
Çarşamba;1.083,91
Salı;1.085,19
Pazartesi;1.078,61
Cuma;1.100,55
Perşembe;1.108,93
Çarşamba;1.099,02
Salı;1.092,16
Pazartesi;1.108,44
Cuma;1.109,88
Perşembe;1.126,80
Çarşamba;1.124,71
Salı;1.092,46
Pazartesi;1.086,20
Cuma;1.083,83
Perşembe;1.100,26
Çarşamba;1.114,18
Salı;1.110,05
Pazartesi;1.075,52
Cuma;1.060,59
Perşembe;1.034,40
Çarşamba;1.091,80
Salı;1.087,16
Perşembe;1.126,90
Çarşamba;1.135,55
Salı;1.152,70
Pazartesi;1.195,67
Cuma;1.192,02
Perşembe;1.190,31
Çarşamba;1.180,80
Salı;1.180,42
Pazartesi;1.192,81
Cuma;1.187,86
Perşembe;1.188,08
Salı;1.177,41
Pazartesi;1.183,99
Cuma;1.148,09
Perşembe;1.157,94
Çarşamba;1.187,13
Salı;1.193,39
Pazartesi;1.184,85
Cuma;1.157,48
Perşembe;1.169,08
Çarşamba;1.153,15
Salı;1.165,25
Pazartesi;1.158,43
Cuma;1.146,68
Perşembe;1.141,39
Çarşamba;1.144,49
Salı;1.153,39
Pazartesi;1.151,90
Cuma;1.136,12
Perşembe;1.124,95
Çarşamba;1.109,40
Salı;1.109,40
Pazartesi;1.095,56
Cuma;1.098,35
Perşembe;1.091,55
Çarşamba;1.097,79
Salı;1.092,37
Pazartesi;1.096,37
Cuma;1.100,22
Perşembe;1.095,37
Çarşamba;1.091,11
Salı;1.080,97
Pazartesi;1.072,66
Cuma;1.055,20
Perşembe;1.053,60
Çarşamba;1.049,54
Cuma;1.030,24
Perşembe;1.026,49
Çarşamba;1.021,58
Pazartesi;1.019,83
Cuma;997,68
Perşembe;991,93
Çarşamba;1.001,59
Salı;996,16
Pazartesi;977,92
Cuma;978,45
Perşembe;983,99
Çarşamba;985,71
Salı;987,38
Pazartesi;988,42
Perşembe;1.011,10
Çarşamba;1.015,95
Salı;1.007,07
Pazartesi;1.012,67
Cuma;987,59
Çarşamba;981,71
Salı;976,19
Pazartesi;989,46
Cuma;981,8
Perşembe;962,49
Çarşamba;958,55
Salı;985,5
Pazartesi;963,99
Cuma;964,71
Perşembe;958,34
Çarşamba;932,25
Salı;923,82
Pazartesi;920,71
Cuma;895,53
Perşembe;895,11
Çarşamba;890,85
Salı;896,44
Pazartesi;880,59
Cuma;881,25
Perşembe;915,28
Çarşamba;890,63
Salı;892,86
Pazartesi;842,46
Cuma;857,96
Perşembe;851,95
Çarşamba;855,77
Salı;867,78
Pazartesi;878,88
Cuma;956,05
Perşembe;936,39
Çarşamba;1.009,66
Salı;1.010,63
Pazartesi;1.035,24
Cuma;1.096,01
Perşembe;1.118,15
Çarşamba;1.107,85
Salı;1.112,07
Pazartesi;1.073,10
Cuma;1.059,94
Perşembe;1.104,18
Çarşamba;1.151,71
Salı;1.143,65
Pazartesi;1.147,89
Cuma;1.168,29
Perşembe;1.156,42
Çarşamba;1.191,96
Salı;1.195,74
Pazartesi;1.207,92
Cuma;1.201,51
Perşembe;1.205,41
Çarşamba;1.200,49
Salı;1.197,98
Pazartesi;1.183,42
Cuma;1.210,15
Perşembe;1.222,84
Çarşamba;1.223,21
Salı;1.221,36
Pazartesi;1.192,43
Cuma;1.191,40
Perşembe;1.198,50
Çarşamba;1.196,89
Salı;1.198,02
Pazartesi;1.201,50
Cuma;1.221,42
Perşembe;1.225,40
Çarşamba;1.227,47
Salı;1.235,56
Pazartesi;1.226,20
Cuma;1.214,75
Perşembe;1.210,01
Çarşamba;1.209,39
Salı;1.214,23
Pazartesi;1.202,49
Cuma;1.186,64
Perşembe;1.179,90
Çarşamba;1.128,76
Salı;1.126,00
Pazartesi;1.114,13
Cuma;1.136,84
Perşembe;1.159,32
Salı;1.144,25
Pazartesi;1.147,54
Cuma;1.136,84
Perşembe;1.136,53
Çarşamba;1.133,29
Salı;1.131,53
Pazartesi;1.121,75
Cuma;1.111,77
Perşembe;1.105,99
Çarşamba;1.105,75
Salı;1.110,74
Pazartesi;1.111,26
Cuma;1.104,77
Perşembe;1.101,15
Çarşamba;1.079,22
Salı;1.080,11
Pazartesi;1.087,86
Cuma;1.088,69
Perşembe;1.086,59
Çarşamba;1.077,01
Salı;1.067,90
Pazartesi;1.080,04
Cuma;1.069,04
Perşembe;1.071,26
Çarşamba;1.058,44
Salı;1.059,83
Pazartesi;1.053,82
Cuma;1.065,88
Perşembe;1.068,05
Çarşamba;1.067,85
Salı;1.075,29
Pazartesi;1.068,46
Cuma;1.053,80
Perşembe;1.037,81
Çarşamba;1.048,28
Salı;1.039,72
Pazartesi;1.031,18
Cuma;1.031,53
Perşembe;1.035,44
Çarşamba;1.011,44
Salı;1.005,25
Pazartesi;1.000,88
Cuma;984,63
Perşembe;984,69
Çarşamba;986,92
Pazartesi;998,38
Cuma;1.002,16
Perşembe;1.003,46
Çarşamba;997,85
Salı;978,86
Pazartesi;973,24
Cuma;984,15
Perşembe;948,96
Çarşamba;941,37
Salı;952,58
Pazartesi;939,81
Cuma;990,28
Perşembe;987,8
Çarşamba;996,49
Salı;1.018,59
Pazartesi;1.029,93
Cuma;1.034,64
Perşembe;1.027,84
Çarşamba;1.035,09
Salı;1.038,77
Pazartesi;1.050,33
Cuma;1.051,52
Perşembe;1.019,40
Çarşamba;1.026,18
Salı;1.018,47
Pazartesi;1.000,21
Cuma;1.002,37
Perşembe;1.003,39
Çarşamba;1.019,30
Salı;1.014,47
Pazartesi;1.025,90
Cuma;1.030,72
Perşembe;1.024,47
Çarşamba;1.019,22
Salı;1.012,13
Pazartesi;1.006,05
Cuma;989,87
Perşembe;1.002,78
Çarşamba;1.000,77
Salı;988,26
Pazartesi;983,43
Perşembe;967,18
Çarşamba;959,08
Salı;960,3
Pazartesi;971,01
Cuma;971,49
Perşembe;953,94
Çarşamba;955,22
Salı;960,32
Pazartesi;952,86
Cuma;957,34
Perşembe;965,79
Cuma;994,05
Perşembe;992,08
Çarşamba;980,56
Salı;995,84
Pazartesi;986,73
Cuma;996,79
Perşembe;1.019,00
Çarşamba;1.020,82
Salı;1.026,86
Pazartesi;1.033,73
Cuma;1.028,37
Perşembe;1.020,45
Çarşamba;1.034,57
Salı;1.025,56
Pazartesi;1.010,89
Cuma;1.018,49
Perşembe;1.015,66
Çarşamba;998,06
Salı;980,28
Cuma;970,98
