Günler;
Salı;-0,006090892
Pazartesi;-0,013569344
Perşembe;-0,013083138
Çarşamba;0,006056433
Salı;0,004554772
Pazartesi;-0,00598698
Cuma;-0,006212504
Perşembe;0,001241387
Çarşamba;0,011290813
Salı;-0,009095861
Pazartesi;-0,015754518
Cuma;0,001011925
Perşembe;-0,009520519
Çarşamba;0,008828261
Salı;0,00523859
Cuma;0,00316384
Perşembe;-0,003948411
Çarşamba;0,00254232
Salı;0,001194775
Pazartesi;-0,008830548
Cuma;-0,014810153
Perşembe;-0,004174285
Çarşamba;-0,013509063
Salı;0,006257637
Pazartesi;-0,007910912
Cuma;-0,006529533
Perşembe;-0,00214522
Çarşamba;0,011956586
Salı;-0,00052789
Pazartesi;0,003689393
Cuma;-0,030524744
Perşembe;0,002054455
Çarşamba;0,004028905
Salı;-0,00477344
Pazartesi;0,000631762
Cuma;0,003130351
Perşembe;0,003759213
Çarşamba;-0,000134415
Salı;0,010164365
Pazartesi;-0,005414824
Cuma;0,00764117
Perşembe;-0,006872193
Çarşamba;0,000501189
Salı;0,008835243
Pazartesi;0,003261567
Cuma;-0,004531605
Perşembe;-0,002467375
Çarşamba;-0,009147932
Salı;-0,003460579
Pazartesi;0,003281684
Cuma;0,002021884
Perşembe;-0,006808003
Çarşamba;0,005400936
Salı;0,014742445
Pazartesi;0,002540431
Cuma;-0,014637889
Perşembe;0,002360067
Çarşamba;-0,006850641
Salı;-0,020838094
Pazartesi;0,003275455
Cuma;0,005601555
Perşembe;0,009921387
Çarşamba;-0,006832957
Salı;0,004890261
Pazartesi;-0,004246626
Cuma;0,002728023
Perşembe;-0,007264871
Çarşamba;-0,003464554
Salı;0,002273193
Pazartesi;0,005615321
Cuma;-0,012553345
Perşembe;0,015394256
Çarşamba;-0,006562066
Salı;-0,008786463
Pazartesi;-0,001361284
Cuma;0,01173291
Perşembe;-0,011320897
Çarşamba;-0,006267166
Salı;-0,006376217
Pazartesi;-0,000672331
Cuma;-0,028355764
Perşembe;0
Çarşamba;-0,008373563
Salı;0,01290834
Pazartesi;-0,013871175
Cuma;0,000228757
Perşembe;-0,009276403
Çarşamba;0,005803298
Salı;-0,005038099
Pazartesi;-0,007935437
Cuma;-0,002303414
Perşembe;-0,007794886
Çarşamba;-0,040672113
Salı;-0,003521199
Pazartesi;0
Cuma;-0,003715191
Perşembe;-0,009394634
Çarşamba;-0,003173149
Salı;0,006205752
Pazartesi;0,014717961
Cuma;0,004939295
Perşembe;-0,003885243
Çarşamba;-0,00370695
Salı;-0,011008429
Pazartesi;0,004280322
Cuma;-0,000727273
Perşembe;0,005609659
Çarşamba;0,002760865
Salı;0,002432011
Pazartesi;-0,008388986
Cuma;0,005583285
Perşembe;0,001146398
Çarşamba;-0,010326179
Salı;0,001481713
Pazartesi;-0,009854225
Cuma;-0,006751491
Perşembe;0,002663925
Çarşamba;0,001342459
Salı;-0,007896307
Pazartesi;-0,024599819
Cuma;-0,002843713
Perşembe;-0,011938926
Çarşamba;0,020135137
Salı;0,00283401
Pazartesi;0,010523238
Cuma;-0,008396265
Perşembe;-0,0022887
Çarşamba;0,011311519
Salı;0,010275266
Pazartesi;-0,003541324
Cuma;0,001256755
Perşembe;-0,006672218
Çarşamba;-0,005030198
Salı;0,005229816
Pazartesi;-0,009788137
Cuma;0,010094141
Perşembe;0,015653572
Çarşamba;-0,001979433
Salı;0,002084194
Pazartesi;-0,009023409
Cuma;-0,018873644
Perşembe;0,031987252
Çarşamba;0,006382738
Salı;0,00332469
Pazartesi;0,014195731
Cuma;-0,002588148
Perşembe;0,005169615
Çarşamba;0,008334594
Salı;0,00044072
Pazartesi;0,006274885
Cuma;-0,013717567
Perşembe;0,005161432
Çarşamba;-0,000530096
Salı;-0,011044225
Pazartesi;-0,011580712
Cuma;0,001496852
Perşembe;-0,009639628
Çarşamba;0,008439744
Salı;0,002359693
Pazartesi;0,002456925
Cuma;0,001809886
Perşembe;-0,001039321
Çarşamba;-0,000526488
Salı;-0,010276893
Pazartesi;0,002164854
Cuma;-0,009589373
Perşembe;0,007671056
Çarşamba;0,007767155
Salı;-0,006677929
Pazartesi;-0,005653514
Cuma;0,03873134
Perşembe;0,000501404
Çarşamba;-0,023842055
Salı;-0,007769206
Pazartesi;0,00461984
Cuma;-0,021485494
Cuma;0,013510011
Perşembe;0,010187503
Çarşamba;-0,00257258
Salı;0,004523325
Pazartesi;-0,002606124
Cuma;-0,011740806
Perşembe;-0,013500536
Çarşamba;0,001514942
Pazartesi;0,001985706
Cuma;0,013064745
Perşembe;-0,004288227
Çarşamba;-0,008815931
Salı;0,015875211
Pazartesi;0,007972377
Cuma;0,002472791
Perşembe;-0,002241909
Çarşamba;0,002267502
Salı;-0,005659121
Pazartesi;0,009809273
Cuma;-0,003114194
Perşembe;0,010237717
Çarşamba;-0,013733575
Salı;0,00727248
Pazartesi;-0,009545574
Cuma;-0,022270087
Perşembe;0,000788478
Çarşamba;-0,020892994
Salı;0,016654193
Pazartesi;0,011907088
Cuma;-0,017171302
Perşembe;-0,002150681
Çarşamba;-0,002235232
Salı;-0,018647399
Pazartesi;0,00656015
Cuma;-0,033393091
Perşembe;-0,001995354
Çarşamba;0,045168704
Salı;0,016878764
Pazartesi;0,010187111
Cuma;0,07347013
Perşembe;-0,00284134
Çarşamba;-0,015472025
Salı;-0,002215876
Pazartesi;-0,023782586
Cuma;-0,015465734
Pazartesi;0,004718468
Cuma;-0,005577602
Perşembe;-0,014667283
Çarşamba;-0,00136782
Salı;0,002824769
Pazartesi;-0,023250439
Cuma;0,002723766
Perşembe;0,034224368
Çarşamba;-0,009313657
Salı;0,0034109
Pazartesi;-0,00010319
Cuma;-0,027356335
Perşembe;-0,010113142
Çarşamba;0,02074172
Salı;-0,00627646
Pazartesi;0,010164638
Cuma;0,004601725
Perşembe;0,010672874
Çarşamba;0,014322005
Salı;-0,008599272
Pazartesi;0,005550218
Cuma;-0,005793345
Perşembe;-0,024183394
Çarşamba;0,009953966
Salı;0,009920127
Pazartesi;0,009364394
Cuma;-0,006463833
Perşembe;8,97062E-05
Çarşamba;0,007315938
Salı;0,01045288
Pazartesi;-0,034177243
Cuma;-0,005329027
Çarşamba;0,011536436
Salı;0,000427126
Pazartesi;-0,003590947
Cuma;0,010438832
Perşembe;0,006354434
Çarşamba;0,009203533
Salı;-0,002863843
Pazartesi;0,003293978
Cuma;-0,008816674
Perşembe;0,004214768
Çarşamba;0,008653791
Salı;0,021028739
Pazartesi;0,03347796
Cuma;0,017711715
Perşembe;0,001756379
Çarşamba;-0,001217428
Salı;0,00446445
Pazartesi;-0,007573267
Cuma;0,008424157
Perşembe;-0,001842566
Çarşamba;-0,001413378
Salı;0,00816065
Pazartesi;0,001077667
Cuma;-0,008969505
Perşembe;0,002474353
Çarşamba;-0,001026347
Salı;-0,023339922
Pazartesi;0,003196034
Cuma;-0,017851396
Perşembe;-0,016338416
Çarşamba;0,004253861
Salı;0,017668798
Pazartesi;0,010896971
Cuma;-0,01821601
Perşembe;0,010976581
Çarşamba;-0,004212154
Salı;-0,014382096
Pazartesi;-0,004770703
Cuma;0,000135217
Perşembe;2,4583E-05
Çarşamba;-0,012044018
Salı;0,017046358
Pazartesi;0,019822771
Cuma;-0,005530655
Perşembe;-0,019060947
Çarşamba;-0,024984814
Salı;-0,004267683
Pazartesi;0,013572992
Cuma;-0,009166726
Perşembe;-0,004482189
Çarşamba;-0,003638373
Salı;-0,013489442
Pazartesi;-0,00256498
Cuma;-0,003788594
Perşembe;-0,004713713
Çarşamba;-0,000520779
Salı;-0,010907318
Pazartesi;-0,001858087
Cuma;-0,011741974
Perşembe;0,003636828
Çarşamba;-0,015207737
Salı;0,019162567
Pazartesi;-0,008058876
Cuma;-0,025408881
Perşembe;0,005885543
Çarşamba;-0,008765808
Salı;-0,025823325
Pazartesi;0,000831238
Cuma;-0,001000388
Perşembe;7,04826E-05
Çarşamba;0,009427944
Salı;-0,002782654
Pazartesi;0,00822763
Cuma;0,030082496
Perşembe;0,00404818
Çarşamba;-0,016755934
Salı;-0,010440986
Pazartesi;0,012908356
Cuma;0,000449197
Perşembe;-0,014447711
Çarşamba;-0,005177199
Salı;-0,003392143
Pazartesi;-0,017844068
Cuma;-0,004190853
Perşembe;-0,024148942
Çarşamba;0,014996083
Salı;0,020885481
Pazartesi;-0,000464419
Cuma;0,000309637
Perşembe;0,012293603
Çarşamba;0,007864353
Salı;-0,01066222
Pazartesi;-0,009678692
Cuma;-0,006155516
Perşembe;0,012427241
Çarşamba;-0,004176776
Salı;-0,007188901
Pazartesi;-0,002407831
Perşembe;0,016999249
Çarşamba;0,020341836
Salı;0,009679644
Pazartesi;0,004454771
Cuma;-0,000714127
Perşembe;-0,001888829
Çarşamba;-6,75242E-05
Salı;-0,01281729
Pazartesi;0,003086802
Cuma;-0,011907842
Perşembe;0,017130923
Çarşamba;-0,012010189
Salı;-0,009311118
Pazartesi;-0,040269533
Cuma;0,013912495
Perşembe;0,029083475
Çarşamba;0,030355269
Salı;-0,02008396
Pazartesi;0,01099256
Cuma;0,004805171
Perşembe;0,015870168
Çarşamba;0,012407303
Salı;0,00509206
Pazartesi;-0,020419344
Cuma;0,005368838
Perşembe;-0,008497356
Çarşamba;0,024224848
Salı;-0,007760687
Pazartesi;0,044908436
Cuma;0,011681458
Perşembe;-0,002991506
Çarşamba;0,000907086
Salı;0,00790518
Pazartesi;-0,001319367
Cuma;0,010225653
Perşembe;0,003219083
Çarşamba;-0,005187335
Salı;-0,006679297
Pazartesi;0,010733819
Cuma;-0,001463593
Perşembe;0,012445123
Çarşamba;0,008737454
Salı;-0,009243874
Pazartesi;0,009363364
Cuma;-0,052555578
Çarşamba;-0,011054594
Salı;0,001615787
Pazartesi;0,007585916
Cuma;0,010829094
Perşembe;0,00163361
Çarşamba;-0,006136714
Salı;0,009122682
Pazartesi;-0,009498858
Cuma;-0,015813854
Perşembe;0,009876655
Çarşamba;0,00147501
Salı;-0,012945616
Pazartesi;0,011937297
Cuma;-0,001072454
Perşembe;-0,007018195
Çarşamba;0,000470262
Salı;-0,018454328
Pazartesi;-0,004618526
Cuma;-0,033129269
Perşembe;0,001799528
Çarşamba;-0,004383613
Salı;0,000713983
Pazartesi;-0,01278029
Çarşamba;0,01750932
Salı;0,005133564
Pazartesi;0,011494608
Cuma;-0,010095475
Perşembe;-0,001572495
Çarşamba;-0,011158166
Salı;-0,013250082
Pazartesi;-0,025944198
Cuma;0,000729057
Perşembe;0,006927499
Çarşamba;0,002168927
Salı;0,000680296
Pazartesi;-0,002584807
Cuma;0,014971001
Perşembe;0,014344871
Çarşamba;-0,00471354
Salı;-0,001168272
Pazartesi;0,022046867
Cuma;-0,007580849
Perşembe;0,002288315
Çarşamba;-0,016129273
Salı;-0,001440942
Pazartesi;-0,029936237
Cuma;0,033846417
Perşembe;0,011907468
Çarşamba;0,008241036
Salı;0,008726751
Pazartesi;0,012585035
Cuma;0,005018457
Perşembe;-0,002888697
Çarşamba;0,014028222
Salı;0,019570592
Pazartesi;-0,028307077
Cuma;0,011954838
Perşembe;0,004782811
Çarşamba;-0,008525766
Salı;0,001291816
Pazartesi;-0,000907934
Cuma;0,022091818
Perşembe;-0,020723837
Çarşamba;-0,002443222
Salı;-0,00071747
Pazartesi;-0,008650038
Cuma;0,017429188
Perşembe;-0,004775589
Çarşamba;0,036166114
Salı;0,004447018
Pazartesi;-0,003241176
Perşembe;0,017915292
Çarşamba;-0,000749163
Salı;0,003776344
Pazartesi;0,004169952
Cuma;-0,007172976
Perşembe;-0,006130455
Çarşamba;-0,023348512
Salı;0,014633594
Pazartesi;0,009686665
Cuma;-0,014048146
Perşembe;0,008130176
Çarşamba;-0,002421101
Salı;0,00692973
Pazartesi;-0,006024188
Cuma;0,021658177
Perşembe;-0,003224978
Çarşamba;0,010321562
Salı;-0,012834414
Pazartesi;0,004300462
Cuma;-0,011719449
Perşembe;-0,006350927
Çarşamba;-0,014989982
Salı;-0,006575659
Pazartesi;-0,015496587
Cuma;0,019839631
Perşembe;0,003866703
Çarşamba;-0,013662078
Salı;-0,020292791
Pazartesi;-0,004373175
Cuma;0,051818187
Perşembe;0,006762288
Çarşamba;0,010790192
Salı;-0,023955421
Pazartesi;-0,012246135
Cuma;0,031236858
Perşembe;0,007072938
Çarşamba;0,008602357
Salı;-0,007657489
Pazartesi;0,010914647
Cuma;0,014521506
Perşembe;0,008829951
Çarşamba;0,014063413
Pazartesi;0,009759603
Cuma;-0,011880519
Perşembe;-0,004129283
Çarşamba;-0,009524375
Salı;-0,012271664
Pazartesi;-0,007171608
Cuma;-0,008210314
Perşembe;-0,017884411
Çarşamba;-0,001563532
Salı;0,01133758
Pazartesi;0,007622498
Perşembe;-0,000857316
Çarşamba;0,023905802
Salı;0,002683131
Pazartesi;0,002236243
Cuma;-0,009898134
Çarşamba;-0,020918374
Salı;0,005926543
Pazartesi;-0,023713299
Cuma;0,001396301
Perşembe;0,000230506
Çarşamba;-0,013175196
Salı;0,011754922
Pazartesi;-0,004651228
Cuma;0,008603563
Perşembe;0,010447856
Çarşamba;-0,008598298
Salı;-0,004029897
Pazartesi;0,00801956
Cuma;-0,001637332
Perşembe;-0,016008115
Çarşamba;-0,005734123
Salı;-0,004479968
Pazartesi;0,016414525
Cuma;-0,01582098
Perşembe;0,007242481
Çarşamba;0,014220588
Salı;-0,00748112
Pazartesi;0,020619038
Cuma;-0,014869626
Perşembe;-0,007103443
Çarşamba;-0,024466203
Salı;0,001112688
Pazartesi;-0,023195564
Cuma;-0,020073266
Perşembe;0,02131297
Çarşamba;-0,000204381
Salı;-0,003839906
Pazartesi;0,033642895
Cuma;-0,00416266
Perşembe;0,005835264
Çarşamba;0,015806577
Salı;0,026893327
Pazartesi;-0,004243666
Cuma;0,002391506
Perşembe;0,020781282
Çarşamba;0,009475999
Salı;-0,000484362
Pazartesi;-0,004659534
Cuma;-0,009302826
Perşembe;0,010761987
Çarşamba;-0,011311917
Salı;-0,011974217
Pazartesi;0,018960361
Cuma;-0,002700031
Perşembe;0,003188051
Çarşamba;-0,031315976
Salı;-0,003758748
Pazartesi;0,017389668
Cuma;0,004871413
Perşembe;0,00939249
Çarşamba;0,001409444
Salı;0,018441409
Pazartesi;0,024874041
Cuma;-0,008586242
Perşembe;-0,004371739
Çarşamba;0,019944764
Salı;0,008904033
Pazartesi;0,002881199
Cuma;-0,007433509
Perşembe;0,001838813
Çarşamba;-0,006511589
Salı;-0,012400375
Pazartesi;-0,013476046
Cuma;-0,006726662
Perşembe;0,003733755
Çarşamba;-0,002053553
Salı;0,008528788
Pazartesi;-0,005085776
Cuma;-0,002472753
Perşembe;0,000479075
Çarşamba;-0,010466258
Salı;0,001531491
Pazartesi;-0,005156524
Cuma;-0,011679848
Çarşamba;0,003061108
Salı;-0,013908528
Pazartesi;-0,00515896
Cuma;0,009997185
Perşembe;-0,001437222
Çarşamba;-3,53676E-05
Salı;-0,003945431
Pazartesi;0,007734428
Cuma;-0,018611474
Perşembe;-0,004172668
Çarşamba;-0,029322966
Salı;-0,020374177
Pazartesi;0,044613713
Cuma;0,00508343
Perşembe;0,017768295
Çarşamba;-0,007012419
Salı;-0,007145742
Pazartesi;0,015349641
Cuma;0,004951233
Perşembe;0,011593724
Çarşamba;-0,015413775
Salı;0
Pazartesi;0,014404383
Cuma;0,000255345
Perşembe;-0,017324761
Çarşamba;-0,005280243
Salı;-0,008487659
Pazartesi;-0,003345668
Cuma;0,000360287
Perşembe;-0,009288702
Çarşamba;-0,012807083
Salı;-0,001621702
Pazartesi;-0,010257768
Cuma;0,008805835
Perşembe;-0,004145902
Çarşamba;-0,005965132
Salı;-0,025089793
Pazartesi;-0,008453677
Cuma;0,002761705
Perşembe;-0,00576326
Çarşamba;0,018483775
Salı;0,016480301
Pazartesi;-0,002994462
Cuma;0,006873906
Perşembe;-0,008487143
Salı;-0,003887445
Pazartesi;-0,004457772
Cuma;0,002294331
Perşembe;0,000981675
Çarşamba;-0,017947377
Salı;-0,005586714
Pazartesi;-0,017080888
Cuma;-0,0105095
Perşembe;-0,012750907
Çarşamba;0,003747528
Salı;-0,00226022
Pazartesi;0,005727538
Cuma;-0,021829815
Perşembe;0,023053838
Çarşamba;-0,030579294
Cuma;0,019562551
Perşembe;-0,007096534
Çarşamba;0,004013166
Salı;0,010503608
Pazartesi;-0,003904166
Cuma;-0,00018757
Perşembe;-0,000549513
Çarşamba;0,008038285
Salı;0,019439313
Pazartesi;0,002618229
Cuma;0,000676238
Perşembe;0,007434401
Çarşamba;0,018816385
Salı;-0,004225814
Pazartesi;-0,009159901
Cuma;-0,001245674
Perşembe;0,014606062
Çarşamba;0,007380945
Salı;0,00662781
Pazartesi;0,026129167
Cuma;-8,51618E-05
Perşembe;0,000401413
Çarşamba;-0,011423943
Salı;-0,007185127
Pazartesi;0,00142384
Cuma;-0,006354823
Perşembe;0,006515651
Çarşamba;-0,00459999
Salı;0,003560334
Pazartesi;-0,018648676
Cuma;-0,004197437
Perşembe;0,000354682
Çarşamba;-0,001153176
Salı;0,005172545
Pazartesi;-0,024698289
Cuma;-0,008439745
Perşembe;0,011383354
Çarşamba;0,000631488
Salı;0,002676172
Pazartesi;-0,007169691
Cuma;0,024644949
Perşembe;-0,004505139
Çarşamba;0,007442776
Salı;0,015118296
Pazartesi;0,015393912
Cuma;0,002451415
Perşembe;0,000767119
Cuma;0,024776624
Perşembe;-0,004677383
Çarşamba;-0,0116392
Salı;-0,003918112
Pazartesi;-0,003167459
Cuma;0,00054683
Perşembe;-0,006483953
Çarşamba;0,005949278
Salı;-0,012549395
Pazartesi;-0,007697716
Cuma;-0,0157267
Perşembe;-0,010284039
Çarşamba;0,011480339
Salı;-0,002116536
Pazartesi;-0,004297222
Cuma;-0,01809796
Perşembe;-7,73874E-05
Çarşamba;-0,00903084
Salı;0,003572848
Pazartesi;0,01776442
Cuma;-0,000216614
Perşembe;-0,004700601
Çarşamba;0,011381264
Salı;-0,000151914
Pazartesi;0,004307928
Cuma;-0,011741868
Perşembe;0,008332429
Çarşamba;-0,012268687
Salı;-0,00098649
Pazartesi;-0,004753899
Cuma;0,017439705
Perşembe;0,010349739
Çarşamba;-0,010235839
Salı;0,032997586
Pazartesi;-0,011303729
Cuma;-0,004418196
Perşembe;-0,007428203
Çarşamba;-0,017928515
Salı;0,005508815
Pazartesi;-0,002146482
Cuma;0,008117102
Perşembe;0,000126111
Çarşamba;-0,016593407
Salı;-0,00594107
Pazartesi;0,013706214
Cuma;-0,006919294
Perşembe;-0,000230615
Çarşamba;-0,020557624
Salı;-0,015819986
Cuma;-0,00327424
Perşembe;0,002915396
Çarşamba;0,010841218
Salı;-0,0035831
Pazartesi;0,00210926
Cuma;-0,004924135
Perşembe;0,002894052
Çarşamba;-0,010812781
Salı;0,002970227
Pazartesi;-0,005721885
Cuma;0,005309511
Çarşamba;-0,017272004
Salı;-0,021302289
Pazartesi;0,001160911
Cuma;-0,014048691
Perşembe;0,013938186
Salı;0,010703519
Pazartesi;0,003778557
Cuma;0,000394765
Perşembe;0,001169766
Çarşamba;-0,015936101
Salı;0,000538536
Pazartesi;0,018288897
Cuma;-0,014183473
Perşembe;0,00567568
Çarşamba;-0,009905356
Salı;0,020741849
Pazartesi;-0,019913794
Cuma;0,001295908
Perşembe;-0,014404112
Çarşamba;-0,012616822
Salı;0,002953961
Pazartesi;-0,015947078
Cuma;-0,008915963
Perşembe;-0,03039194
Çarşamba;0,010135197
Salı;-0,045844602
Pazartesi;-0,01535784
Cuma;0,013547744
Perşembe;0,010505334
Çarşamba;0,003457035
Salı;0,001327626
Pazartesi;-0,021207218
Cuma;-0,014418537
Perşembe;0,001042457
Çarşamba;-0,001358567
Salı;-0,003055613
Pazartesi;-0,005310113
Cuma;0,005785692
Perşembe;0,014288205
Çarşamba;-0,008772193
Salı;-0,00654672
Pazartesi;-0,029659234
Cuma;0,022046763
Perşembe;-0,012450697
Çarşamba;-0,004477547
Salı;0,010046434
Pazartesi;0,032652731
Cuma;-0,004684873
Perşembe;-0,003214
Çarşamba;-0,004706335
Salı;0,011669988
Pazartesi;0,022710554
Cuma;-0,010974804
Perşembe;-0,017381197
Çarşamba;0,011677804
Salı;-0,003618157
Pazartesi;-0,003600069
Cuma;0,008767077
Perşembe;-0,000990988
Çarşamba;-0,033201991
Salı;0,004649499
Pazartesi;-0,017008963
Cuma;0,002962773
Perşembe;0,013535961
Çarşamba;-0,009808557
Salı;0,02316374
Pazartesi;0,01600184
Cuma;-0,002186098
Perşembe;0,015417264
Çarşamba;0,029189699
Salı;-0,015678851
Pazartesi;-0,008403856
Cuma;-0,001963486
Perşembe;0,018252456
Çarşamba;0,019129485
Salı;-0,000910372
Pazartesi;-0,000161604
Cuma;-0,002206305
Perşembe;-0,022304872
Çarşamba;0,013727729
Salı;0,018642351
Pazartesi;-0,008446775
Cuma;-0,030676565
Perşembe;0,015329025
Salı;0,012108051
Pazartesi;0,002710109
Cuma;-0,06221721
Perşembe;0,010432982
Çarşamba;0,023605786
Salı;0,042954159
Pazartesi;-0,013305907
Cuma;0,021604949
Perşembe;-0,00682183
Çarşamba;0,032981205
Salı;-0,006616912
Pazartesi;0,053473562
Cuma;-0,0104495
Perşembe;-0,01349783
Çarşamba;0,012160272
Salı;0,00205289
Pazartesi;0,001550377
Cuma;-0,011584632
Perşembe;-0,019069161
Çarşamba;0,015122875
Salı;-2,73643E-05
Pazartesi;0,025184054
Cuma;0,010577475
Perşembe;-0,015539667
Çarşamba;0,00422811
Salı;0,008866261
Pazartesi;0,012729142
Cuma;-0,011737085
Perşembe;-0,012759874
Çarşamba;0,009369592
Salı;-0,010186755
Pazartesi;0,013048063
Cuma;-0,017682334
Perşembe;-0,004020296
Çarşamba;-0,022529695
Salı;-0,0058517
Pazartesi;0,003262872
Cuma;0,024347695
Perşembe;0,025300221
Çarşamba;-0,000567353
Salı;-0,013620297
Pazartesi;0,019738616
Cuma;0,003496255
Perşembe;0,014521313
Çarşamba;0,016596884
Pazartesi;0,008152288
Cuma;-0,003689321
Perşembe;-0,005388394
Çarşamba;-0,004194157
Salı;0,009582551
Pazartesi;-0,0049953
Pazartesi;-0,034069002
Cuma;-0,000774222
Perşembe;-0,007061209
Çarşamba;-0,015400907
Salı;0,007756746
Pazartesi;0,011088777
Cuma;0,004023462
Perşembe;0,000826354
Çarşamba;-0,014620588
Salı;0,017239418
Pazartesi;-0,026273894
Cuma;0,00381887
Perşembe;0,011250867
Çarşamba;0,008113207
Salı;0,003875263
Pazartesi;0,003625981
Cuma;0,013642071
Perşembe;0,020378385
Çarşamba;-0,06237139
Salı;0,001632719
Pazartesi;-0,007031604
Cuma;-0,035975201
Perşembe;0,015060171
Çarşamba;-0,013149524
Salı;0,000222903
Pazartesi;-0,029674845
Cuma;-0,035893161
Perşembe;-0,007719509
Çarşamba;0,003755213
Salı;0,000104525
Pazartesi;0,023200911
Perşembe;-0,031883773
Çarşamba;-0,014289641
Salı;0,00103839
Pazartesi;0,048484867
Cuma;-0,012333102
Perşembe;0,005402562
Çarşamba;0,020419668
Salı;0,035166012
Pazartesi;0,002476019
Cuma;0,025802956
Perşembe;-0,00400667
Çarşamba;0,021503329
Salı;-0,000953011
Pazartesi;-0,001842414
Çarşamba;-0,024578191
Salı;0,006599968
Pazartesi;0,003478921
Cuma;-0,003465413
Perşembe;-0,008559757
Çarşamba;-0,000340648
Salı;0,014127625
Pazartesi;-0,020114685
Cuma;-0,00527858
Perşembe;0,017691114
Çarşamba;0,002231766
Salı;0,018115006
Pazartesi;0,00592657
Cuma;0,000764718
Perşembe;0,015030009
Çarşamba;0,000635971
Salı;-0,018252553
Pazartesi;0,007241352
Cuma;-0,030718366
Perşembe;-0,029265293
Çarşamba;-0,010023603
Salı;0,0126945
Pazartesi;-0,004176418
Cuma;0,019752842
Perşembe;0,03094738
Çarşamba;-0,022679324
Salı;0,036232469
Pazartesi;0,003890954
Cuma;-0,005776586
Perşembe;-0,007010558
Çarşamba;-0,025533757
Salı;-0,03635962
Pazartesi;-0,008106914
Cuma;0,03425917
Perşembe;0,00491254
Çarşamba;0,070588795
Salı;-0,013987135
Pazartesi;0,015394149
Cuma;0,013400051
Perşembe;-0,045017186
Çarşamba;0,005111832
Salı;-0,024224141
Pazartesi;0,017764802
Cuma;0,025169537
Perşembe;-0,031618164
Çarşamba;0,048128003
Salı;0,013668605
Pazartesi;-0,047549806
Cuma;0,110633402
Perşembe;0,013629225
Çarşamba;5,73575E-05
Salı;0,030958309
Pazartesi;0,006993152
Cuma;0,005166262
Perşembe;0,003673914
Çarşamba;0,019813145
Salı;-0,021566166
Pazartesi;-0,011314883
Cuma;0,019331702
Perşembe;0,000239297
Çarşamba;0,001792904
Salı;-0,008996838
Pazartesi;-0,016813245
Cuma;-0,002185866
Perşembe;0,004033432
Çarşamba;0,010189099
Salı;-0,015451389
Pazartesi;0,002857559
Cuma;-0,006945987
Perşembe;-0,004770379
Salı;-0,030039576
Pazartesi;-0,010420655
Cuma;-0,000493346
Perşembe;-0,001987593
Çarşamba;-0,001920777
Pazartesi;-0,008969095
Cuma;-0,00882211
Perşembe;-0,002970127
Çarşamba;0,01624537
Salı;0,003642733
Pazartesi;0,004722851
Cuma;-0,006199633
Perşembe;-0,005667417
Çarşamba;-0,020408259
Salı;0,004431697
Pazartesi;0,006946939
Cuma;-0,015427889
Perşembe;0,014191328
Çarşamba;0,019226786
Salı;0,013658361
Pazartesi;0,000987574
Cuma;-0,002476587
Perşembe;-0,007537152
Çarşamba;-0,012499499
Salı;-0,002664036
Pazartesi;-0,014454152
Cuma;-0,003801043
Perşembe;-0,000946453
Çarşamba;-0,002589116
Salı;0,001520247
Pazartesi;0,013195495
Cuma;-0,003171288
Perşembe;-0,01372548
Çarşamba;0,007739967
Salı;0,008784935
Pazartesi;-0,002739267
Cuma;0,005064153
Perşembe;-0,020644474
Çarşamba;0,004133925
Salı;-0,013760364
Pazartesi;-0,005431064
Cuma;-0,00927225
Perşembe;-0,006708484
Çarşamba;-0,014832018
Salı;-0,008376205
Pazartesi;-0,010948068
Cuma;-0,010106988
Perşembe;0,017889331
Çarşamba;0,020774313
Salı;-0,007838886
Pazartesi;-0,004699624
Cuma;0,002218106
Perşembe;-0,006437087
Çarşamba;0,004668128
Salı;0,001743344
Pazartesi;-0,010596552
Cuma;0,018315248
Perşembe;-0,00682257
Çarşamba;0,024084146
Salı;0,003192739
Pazartesi;0,005129395
Cuma;-0,006225749
Perşembe;-0,018100554
Çarşamba;0,002535402
Salı;0,039654987
Pazartesi;-0,012391186
Cuma;0,043268301
Perşembe;0,019662652
Çarşamba;-0,001122822
Salı;-0,008070374
Pazartesi;-0,004270786
Cuma;-0,003253334
Perşembe;-0,001707239
Çarşamba;-0,009210327
Salı;-0,020134263
Pazartesi;-0,005060961
Cuma;-0,011728469
Perşembe;-0,002434038
Çarşamba;0,00385219
Salı;-0,012237384
Pazartesi;0,000773135
Cuma;-0,008260993
Perşembe;0,00587732
Çarşamba;-0,004897458
Pazartesi;-0,018169648
Cuma;0,004732544
Perşembe;-0,001592022
Çarşamba;-0,00591903
Salı;-0,005077556
Pazartesi;-0,003640828
Cuma;-0,00816893
Perşembe;0,001680793
Çarşamba;-5,20752E-05
Salı;0,006333242
Pazartesi;0,002183957
Cuma;-0,015270848
Perşembe;0,008743596
Çarşamba;0,005713672
Salı;-0,007638525
Pazartesi;-0,001055038
Cuma;-0,006432404
Perşembe;-0,005998913
Çarşamba;0,003319636
Salı;-0,00679597
Pazartesi;-0,016339753
Cuma;-0,016830159
Perşembe;-0,008384468
Çarşamba;-0,006577923
Salı;0,000361176
Pazartesi;-0,00184893
Cuma;-0,012080975
Perşembe;-0,015298673
Çarşamba;0,007621825
