Gün;Getiri
Perşembe;-0,003065018
Cuma;0,009643127
Pazartesi;0,000353099
Salı;-0,015281405
Çarşamba;0,007004603
Perşembe;0,004693974
Cuma;0,01288721
Çarşamba;0,005323558
Perşembe;-0,000453899
Cuma;-0,006452468
Pazartesi;0,00437704
Salı;0,00298302
Çarşamba;0,000211653
Cuma;0,018199887
Pazartesi;-0,00237784
Salı;-0,004623217
Çarşamba;0,009832219
Perşembe;0,002306431
Cuma;0,003273084
Pazartesi;0,00271941
Salı;-0,000249583
Çarşamba;0,001159301
Perşembe;-0,013183435
Cuma;0,013124769
Pazartesi;-0,001291535
Salı;-0,007251749
Çarşamba;-0,007200417
Perşembe;-0,001685096
Cuma;0,013181008
Pazartesi;-0,010126069
Salı;0,008932268
Çarşamba;-0,016864609
Perşembe;0,001423786
Cuma;-0,00561698
Pazartesi;0,005377326
Salı;0,011068767
Çarşamba;-0,0100656
Perşembe;0,00130112
Cuma;0,007074114
Pazartesi;0,00075657
Salı;0,009269576
Çarşamba;0,005786672
Perşembe;0,016228007
Cuma;0,000359244
Pazartesi;0,002396448
Salı;0,007311603
Çarşamba;0,00574596
Perşembe;-0,004693613
Cuma;0,005923634
Pazartesi;0,006267935
Salı;-0,006437503
Çarşamba;-0,000763413
Salı;0,014169098
Çarşamba;0,011258663
Perşembe;0,000330847
Cuma;-0,015697383
Pazartesi;0,01823025
Salı;-0,009628676
Çarşamba;-0,006056616
Perşembe;0,014488486
Cuma;-0,011490401
Pazartesi;-0,006467542
Salı;0,009178984
Çarşamba;-0,009613513
Perşembe;0,003792256
Cuma;-0,0113213
Pazartesi;-0,002602584
Salı;0,000424797
Çarşamba;-0,002494721
Perşembe;-0,007621825
Cuma;0,015298673
Pazartesi;0,012080975
Salı;0,00184893
Çarşamba;-0,000361176
Perşembe;0,006577923
Cuma;0,008384468
Pazartesi;0,016830159
Salı;0,016339753
Çarşamba;0,00679597
Perşembe;-0,003319636
Cuma;0,005998913
Pazartesi;0,006432404
Salı;0,001055038
Çarşamba;0,007638525
Perşembe;-0,005713672
Cuma;-0,008743596
Pazartesi;0,015270848
Salı;-0,002183957
Çarşamba;-0,006333242
Perşembe;5,20752E-05
Cuma;-0,001680793
Pazartesi;0,00816893
Salı;0,003640828
Çarşamba;0,005077556
Perşembe;0,00591903
Cuma;0,001592022
Pazartesi;-0,004732544
Çarşamba;0,018169648
Perşembe;0,004897458
Cuma;-0,00587732
Pazartesi;0,008260993
Salı;-0,000773135
Çarşamba;0,012237384
Perşembe;-0,00385219
Cuma;0,002434038
Pazartesi;0,011728469
Salı;0,005060961
Çarşamba;0,020134263
Perşembe;0,009210327
Cuma;0,001707239
Pazartesi;0,003253334
Salı;0,004270786
Çarşamba;0,008070374
Perşembe;0,001122822
Cuma;-0,019662652
Pazartesi;-0,043268301
Salı;0,012391186
Çarşamba;-0,039654987
Perşembe;-0,002535402
Cuma;0,018100554
Pazartesi;0,006225749
Salı;-0,005129395
Çarşamba;-0,003192739
Perşembe;-0,024084146
Cuma;0,00682257
Pazartesi;-0,018315248
Salı;0,010596552
Çarşamba;-0,001743344
Perşembe;-0,004668128
Cuma;0,006437087
Pazartesi;-0,002218106
Salı;0,004699624
Çarşamba;0,007838886
Perşembe;-0,020774313
Cuma;-0,017889331
Pazartesi;0,010106988
Salı;0,010948068
Çarşamba;0,008376205
Perşembe;0,014832018
Cuma;0,006708484
Pazartesi;0,00927225
Salı;0,005431064
Çarşamba;0,013760364
Perşembe;-0,004133925
Cuma;0,020644474
Pazartesi;-0,005064153
Salı;0,002739267
Çarşamba;-0,008784935
Perşembe;-0,007739967
Cuma;0,01372548
Pazartesi;0,003171288
Salı;-0,013195495
Çarşamba;-0,001520247
Perşembe;0,002589116
Cuma;0,000946453
Pazartesi;0,003801043
Salı;0,014454152
Çarşamba;0,002664036
Perşembe;0,012499499
Cuma;0,007537152
Pazartesi;0,002476587
Salı;-0,000987574
Çarşamba;-0,013658361
Perşembe;-0,019226786
Cuma;-0,014191328
Pazartesi;0,015427889
Salı;-0,006946939
Çarşamba;-0,004431697
Perşembe;0,020408259
Cuma;0,005667417
Pazartesi;0,006199633
Salı;-0,004722851
Çarşamba;-0,003642733
Perşembe;-0,01624537
Cuma;0,002970127
Pazartesi;0,00882211
Çarşamba;0,008969095
Perşembe;0,001920777
Cuma;0,001987593
Pazartesi;0,000493346
Salı;0,010420655
Perşembe;0,030039576
Cuma;0,004770379
Pazartesi;0,006945987
Salı;-0,002857559
Çarşamba;0,015451389
Perşembe;-0,010189099
Cuma;-0,004033432
Pazartesi;0,002185866
Salı;0,016813245
Çarşamba;0,008996838
Perşembe;-0,001792904
Cuma;-0,000239297
Pazartesi;-0,019331702
Salı;0,011314883
Çarşamba;0,021566166
Perşembe;-0,019813145
Cuma;-0,003673914
Pazartesi;-0,005166262
Salı;-0,006993152
Çarşamba;-0,030958309
Perşembe;-5,73575E-05
Cuma;-0,013629225
Pazartesi;-0,110633402
Salı;0,047549806
Çarşamba;-0,013668605
Perşembe;-0,048128003
Cuma;0,031618164
Pazartesi;-0,025169537
Salı;-0,017764802
Çarşamba;0,024224141
Perşembe;-0,005111832
Cuma;0,045017186
Pazartesi;-0,013400051
Salı;-0,015394149
Çarşamba;0,013987135
Perşembe;-0,070588795
Cuma;-0,00491254
Pazartesi;-0,03425917
Salı;0,008106914
Çarşamba;0,03635962
Perşembe;0,025533757
Cuma;0,007010558
Pazartesi;0,005776586
Salı;-0,003890954
Çarşamba;-0,036232469
Perşembe;0,022679324
Cuma;-0,03094738
Pazartesi;-0,019752842
Salı;0,004176418
Çarşamba;-0,0126945
Perşembe;0,010023603
Cuma;0,029265293
Pazartesi;0,030718366
Salı;-0,007241352
Çarşamba;0,018252553
Perşembe;-0,000635971
Cuma;-0,015030009
Pazartesi;-0,000764718
Salı;-0,00592657
Çarşamba;-0,018115006
Perşembe;-0,002231766
Cuma;-0,017691114
Pazartesi;0,00527858
Salı;0,020114685
Çarşamba;-0,014127625
Perşembe;0,000340648
Cuma;0,008559757
Pazartesi;0,003465413
Salı;-0,003478921
Çarşamba;-0,006599968
Pazartesi;0,024578191
Salı;0,001842414
Çarşamba;0,000953011
Perşembe;-0,021503329
Cuma;0,00400667
Pazartesi;-0,025802956
Salı;-0,002476019
Çarşamba;-0,035166012
Perşembe;-0,020419668
Cuma;-0,005402562
Pazartesi;0,012333102
Salı;-0,048484867
Çarşamba;-0,00103839
Perşembe;0,014289641
Pazartesi;0,031883773
Salı;-0,023200911
Çarşamba;-0,000104525
Perşembe;-0,003755213
Cuma;0,007719509
Pazartesi;0,035893161
Salı;0,029674845
Çarşamba;-0,000222903
Perşembe;0,013149524
Cuma;-0,015060171
Pazartesi;0,035975201
Salı;0,007031604
Çarşamba;-0,001632719
Perşembe;0,06237139
Cuma;-0,020378385
Pazartesi;-0,013642071
Salı;-0,003625981
Çarşamba;-0,003875263
Perşembe;-0,008113207
Cuma;-0,011250867
Pazartesi;-0,00381887
Salı;0,026273894
Çarşamba;-0,017239418
Perşembe;0,014620588
Cuma;-0,000826354
Pazartesi;-0,004023462
Salı;-0,011088777
Çarşamba;-0,007756746
Perşembe;0,015400907
Cuma;0,007061209
Pazartesi;0,000774222
Pazartesi;0,034069002
Salı;0,0049953
Çarşamba;-0,009582551
Perşembe;0,004194157
Cuma;0,005388394
Pazartesi;0,003689321
Çarşamba;-0,008152288
Perşembe;-0,016596884
Cuma;-0,014521313
Pazartesi;-0,003496255
Salı;-0,019738616
Çarşamba;0,013620297
Perşembe;0,000567353
Cuma;-0,025300221
Pazartesi;-0,024347695
Salı;-0,003262872
Çarşamba;0,0058517
Perşembe;0,022529695
Cuma;0,004020296
Pazartesi;0,017682334
Salı;-0,013048063
Çarşamba;0,010186755
Perşembe;-0,009369592
Cuma;0,012759874
Pazartesi;0,011737085
Salı;-0,012729142
Çarşamba;-0,008866261
Perşembe;-0,00422811
Cuma;0,015539667
Pazartesi;-0,010577475
Salı;-0,025184054
Çarşamba;2,73643E-05
Perşembe;-0,015122875
Cuma;0,019069161
Pazartesi;0,011584632
Salı;-0,001550377
Çarşamba;-0,00205289
Perşembe;-0,012160272
Cuma;0,01349783
Pazartesi;0,0104495
Salı;-0,053473562
Çarşamba;0,006616912
Perşembe;-0,032981205
Cuma;0,00682183
Pazartesi;-0,021604949
Salı;0,013305907
Çarşamba;-0,042954159
Perşembe;-0,023605786
Cuma;-0,010432982
Pazartesi;0,06221721
Salı;-0,002710109
Perşembe;-0,012108051
Cuma;-0,015329025
Pazartesi;0,030676565
Salı;0,008446775
Çarşamba;-0,018642351
Perşembe;-0,013727729
Cuma;0,022304872
Pazartesi;0,002206305
Salı;0,000161604
Çarşamba;0,000910372
Perşembe;-0,019129485
Cuma;-0,018252456
Pazartesi;0,001963486
Salı;0,008403856
Çarşamba;0,015678851
Perşembe;-0,029189699
Cuma;-0,015417264
